museum,country,object_count
Smithsonian National Museum of American History,"[{'label': 'place made', 'content': 'United States'}]",340
Smithsonian National Museum of American History,"[{'label': 'place made', 'content': 'United States'}, {'label': 'place of issue', 'content': 'United States'}]",207
Smithsonian National Museum of American History,"[{'label': 'place made', 'content': 'United States: New York, New York City'}]",152
Smithsonian National Museum of American History,"[{'label': 'place made', 'content': 'Russia'}]",114
Smithsonian National Museum of American History,"[{'label': 'place made', 'content': 'United States: Pennsylvania, Philadelphia'}]",95
Smithsonian National Museum of American History,"[{'label': 'associated place', 'content': 'United States'}]",94
Smithsonian National Museum of American History,"[{'label': 'place made', 'content': 'China'}]",93
Smithsonian National Museum of American History,"[{'label': 'place made', 'content': 'United States: New York, New York'}]",90
Smithsonian National Museum of American History,"[{'label': 'place made', 'content': 'United States: Illinois, Chicago'}]",89
Smithsonian National Museum of American History,"[{'label': 'place made', 'content': 'United States: New Jersey, Camden'}]",65
The Metropolitan Museum of Art,United States,35
The Metropolitan Museum of Art,England,14
The Metropolitan Museum of Art,France,11
The Metropolitan Museum of Art,Peru,11
The Metropolitan Museum of Art,Italy,4
The Metropolitan Museum of Art,Russia,4
The Metropolitan Museum of Art,Egypt,3
The Metropolitan Museum of Art,Germany,3
The Metropolitan Museum of Art,India,2
The Metropolitan Museum of Art,Japan,2
